Product,KCT8526HW,,,,,,,,,,,,,,,,,,,,,,,,
Revision,A4,,,,,,,,,,,,,,,,,,,,,,,,
Date,2018/4/24  18:20_2018/9/14 20:53,,,,,,,,,,,,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,,,,,,,,,,
Limit File Format Version,1,,,,,,,,,,,,,,,,,,,,,,,,
HardBinNumberPass,1,,,,,,,,,,,,,,,,,,,,,,,,
HardBinNamePass,Pass,,,,,,,,,,,,,,,,,,,,,,,,
SoftBinNumberPass,1,,,,,,,,,,,,,,,,,,,,,,,,
SoftBinNamePass,AllPass,,,,,,,,,,,,,,,,,,,,,,,,
LinearCombo,33-34|35-36|37-38|39-40,,,,,,,,,,,,,,,,,,,,,,,,
Test Number,Test Name,Units,HardBinNumber,HardBinName,HardBinPF,SoftBinNumber,SoftBinName,SoftBinPF,FT Lower Limit,FT Upper Limit,QA Lower Limit,QA Upper Limit,Gold Tolerance,Gold Control,MIN,MAX,Apply Offset, Offset1, Offset2, Offset3, Offset4, Offset5, Offset6,Offset7,Offset8
1,CONT_C0_POS,V,4,Bin4,F,11,CONT_DIG_FAIL,F,0.1,0.6,0.1,0.6,0,0,0,0,N,0,0,0,0,0,0,0,0
2,CONT_C1_POS,V,4,Bin4,F,11,CONT_DIG_FAIL,F,1,3,1,3,0,0,0,0,N,0,0,0,0,0,0,0,0
3,IOFF_VCC1,uA,4,Bin4,F,12,CONT_VDET_FAIL,F,-10,10,-10,10,0,0,0,0,N,0,0,0,0,0,0,0,0
4,IOFF_VCC2,uA,4,Bin4,F,12,CONT_VDET_FAIL,F,-10,10,-10,10,0,0,0,0,N,0,0,0,0,0,0,0,0
5,IOFF_VDD,mA,4,Bin4,F,12,CONT_VDET_FAIL,F,0.5,2,0.5,2,0,0,0,0,N,0,0,0,0,0,0,0,0
6,IOFF_GROSS_END,mA,4,Bin4,F,12,CONT_VDET_FAIL,F,0.5,2,0.5,2,0,0,0,0,N,0,0,0,0,0,0,0,0
7,DC_IIH_C1,uA,4,Bin4,F,13,LEAKAGE_FAIL,F,-5,5,-5,5,0,0,0,0,N,0,0,0,0,0,0,0,0
8,DC_IIH_PEN,uA,4,Bin4,F,13,LEAKAGE_FAIL,F,600,700,600,700,0,0,0,0,N,0,0,0,0,0,0,0,0
9,DC_IIH_C0,uA,4,Bin4,F,13,LEAKAGE_FAIL,F,250,350,250,350,0,0,0,0,N,0,0,0,0,0,0,0,0
10,DC_IIL_C1,uA,4,Bin4,F,13,LEAKAGE_FAIL,F,-5,5,-5,5,0,0,0,0,N,0,0,0,0,0,0,0,0
11,DC_IIL_PEN,uA,4,Bin4,F,13,LEAKAGE_FAIL,F,-5,5,-5,5,0,0,0,0,N,0,0,0,0,0,0,0,0
12,DC_IIL_C0,uA,4,Bin4,F,13,LEAKAGE_FAIL,F,-5,5,-5,5,0,0,0,0,N,0,0,0,0,0,0,0,0
13,TX_IDC_VCC1,mA,5,Bin5,F,14,ICQ_FAIL,F,20,60,20,60,0,0,0,0,N,0,0,0,0,0,0,0,0
14,TX_IDC_VCC2,mA,5,Bin5,F,14,ICQ_FAIL,F,60,120,60,120,0,0,0,0,N,0,0,0,0,0,0,0,0
15,TX_IDC_VDD,mA,5,Bin5,F,14,ICQ_FAIL,F,20,60,20,60,0,0,0,0,N,0,0,0,0,0,0,0,0
16,TX_ICQ,mA,5,Bin5,F,14,ICQ_FAIL,F,140,190,140,190,0,0,0,0,N,0,0,0,0,0,0,0,0
17,VDETDC,mV,5,Bin5,F,16,ICQ_RETEST_FAIL,F,50,150,50,150,0,0,0,0,N,0,0,0,0,0,0,0,0
